,Date,Unemployment Rate (%),Per 100K Population
0,31-12-1991,15.78,0.6538
1,31-12-1992,15.03,0.7082
2,31-12-1993,15.59,0.6484
3,31-12-1994,14.57,0.7007
4,31-12-1995,11.98,1.197
5,31-12-1996,11.72,1.1603
6,31-12-1997,10.2,1.0408
7,31-12-1998,7.7,1.0304
8,31-12-1999,5.8,1.0184
9,31-12-2000,4.32,0.978
10,31-12-2001,3.68,1.3534
11,31-12-2002,4.22,1.3306
12,31-12-2003,4.48,0.9296
13,31-12-2004,4.49,0.7393
14,31-12-2005,4.34,1.2557
15,31-12-2006,4.41,1.4655
16,31-12-2007,4.98,1.8036
17,31-12-2008,6.77,1.1549
18,31-12-2009,12.61,1.1792
19,31-12-2010,14.53,1.2076
20,31-12-2011,15.35,0.9148
21,31-12-2012,15.45,1.1284
22,31-12-2013,13.73,1.105
23,31-12-2015,9.91,0.6663
24,31-12-2016,8.37,0.7241
25,31-12-2017,6.71,0.8205
26,31-12-2018,5.74,0.8093
27,31-12-2019,4.95,0.6964
28,31-12-2020,5.62,0.6886
